Event Name Clean,Date,Start Time,End Time,Day of Week,Month,Month Number,Season,Week of Year,Is Weekend,Start Hour,Time of Day,Duration (hours),Duration Category,Artists,Number of Artists,Has Artists,Venue,Venue Clean,Is TBA Venue,Number of guests attending,Attendance Category,Has Attendance Data,Genres,Primary Genre,Number of Genres,Genre IDs,Event URL,Promoter/Series,Is Cancelled
Dice Thursdays with Emotionz & Civillian,2025-03-06,2025-03-06 20:00:00,2025-03-06 23:59:00,Thursday,March,3,Spring,10,False,20,Evening (5pm-10pm),3.9833333333333334,Medium (3-6 hrs),,0,False,Boogie Van,Boogie Van,False,1,Small (0-50),True,"Hip-Hop, Funk / Soul",Hip-Hop,2,"9, 26",/events/2116996,Other,False
"VTK169: Kassian, STERAC, Max Ulis",2025-03-07,2025-03-07 23:00:00,2025-03-08 06:00:00,Friday,March,3,Spring,10,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Kassian, STERAC, Max Ulis",3,True,Industrial 236,Industrial 236,False,193,Large (150-300),True,Techno,Techno,1,5,/events/2065047,VTK169,False
"VTK X FNCTN: dj_2button, APOLLO, IHA, EV O'REILLY",2025-03-07,2025-03-07 23:00:00,2025-03-08 06:00:00,Friday,March,3,Spring,10,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"dj_2button, IHA (CA), APOLLO (A Place Of Love Lives On), Ev O'Reilly",4,True,Vantek Warehouse,Vantek Warehouse,False,117,Medium (50-150),True,"Techno, Dub",Techno,2,"5, 23",/events/2108310,VTK X FNCTN,False
Beats Of Paradise ft Father Funk,2025-03-07,2025-03-07 22:00:00,2025-03-08 02:00:00,Friday,March,3,Spring,10,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Jubba, Bass",2,True,Calabash Bistro,Calabash Bistro,False,27,Small (0-50),True,"Latin Bass, Afrobeats",Latin Bass,2,"66, 74",/events/2108385,Other,False
DULF fundraver: CHIP WILSON NIGHT,2025-03-07,2025-03-07 22:00:00,2025-03-08 03:00:00,Friday,March,3,Spring,10,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"EtOH, TR4CK ID?, C4TNIP",3,True,TBA - ALF HOUSE ,ALF HOUSE,True,13,Small (0-50),True,"Techno, Acid",Techno,2,"5, 32",/events/2119964,DULF fundraver,False
Chris Avantgarde,2025-03-07,2025-03-07 22:00:00,2025-03-08 03:00:00,Friday,March,3,Spring,10,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),Chris Avantgarde,1,True,Harbour Event & Convention Centre,Harbour Event & Convention Centre,False,1,Small (0-50),True,,Unknown,0,,/events/2117957,Other,False
"LUMEN PRESENTS: Brian Cid, Carlos & Santiago Luna, Arteez, Mattemus",2025-03-08,2025-03-08 22:00:00,2025-03-09 06:00:00,Saturday,March,3,Spring,10,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"Brian Cid, Carlos Luna, Mattemüs",3,True,Industrial 236,Industrial 236,False,225,Large (150-300),True,Progressive House,Progressive House,1,1,/events/2084452,LUMEN PRESENTS,False
VTK - RTR: Per Pleks,2025-03-08,2025-03-08 23:00:00,2025-03-09 06:00:00,Saturday,March,3,Spring,10,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"Per Pleks, ALOKIN, VARON, C-Star",4,True,Vantek Warehouse,Vantek Warehouse,False,179,Large (150-300),True,"Techno, Hardcore",Techno,2,"5, 11",/events/2084464,VTK - RTR,False
A BLEACH PARTY?? V3.0 // Big Zen & PLO Man,2025-03-08,2025-03-08 23:00:00,2025-03-09 04:30:00,Saturday,March,3,Spring,10,True,23,Late Night (10pm-6am),5.5,Medium (3-6 hrs),"Big Zen, PLO Man",2,True,TBA - Location revealed through our Instagram Story on the day of the event - @ble___ach,Location revealed through our Instagram Story on the day of the event - @ble___ach,True,146,Medium (50-150),True,,Unknown,0,,/events/2103887,Other,False
ARANYANI: Night of Dark Trance,2025-03-08,2025-03-08 21:00:00,2025-03-09 06:00:00,Saturday,March,3,Spring,10,True,21,Evening (5pm-10pm),9.0,Long (6+ hrs),,0,False,TBA - 106-8889 Laurel Street,106-8889 Laurel Street,True,69,Medium (50-150),True,"Experimental, Psytrance",Experimental,2,"25, 76",/events/2084400,ARANYANI,False
Reinier Zonneveld,2025-03-08,2025-03-08 22:00:00,2025-03-09 03:00:00,Saturday,March,3,Spring,10,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),,0,False,Harbour Event & Convention Centre,Harbour Event & Convention Centre,False,8,Small (0-50),True,"Techno, Acid",Techno,2,"5, 32",/events/2112469,Other,False
Hotlatch: Two Spirit Night,2025-03-08,2025-03-08 21:00:00,2025-03-09 03:00:00,Saturday,March,3,Spring,10,True,21,Evening (5pm-10pm),6.0,Long (6+ hrs),"EtOH, ANTI-NOTHING",2,True,The Birdhouse,The Birdhouse,False,7,Small (0-50),True,"Club, Electronica",Club,2,"39, 75",/events/2118254,Hotlatch,False
Gorg-O-Mish presents: KÖL & Pedro,2025-03-08,2025-03-08 02:00:00,2025-03-08 08:00:00,Saturday,March,3,Spring,10,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"KÖL (CA), Pedro (CA)",2,True,Gorg-O-Mish,Gorg-O-Mish,False,5,Small (0-50),True,Techno,Techno,1,5,/events/2111102,Gorg-O-Mish presents,False
Infidels Jazz Presents: City Pop ft. Chen Baker,2025-03-08,2025-03-08 19:00:00,2025-03-08 22:00:00,Saturday,March,3,Spring,10,True,19,Evening (5pm-10pm),3.0,Medium (3-6 hrs),,0,False,Fox Cabaret,Fox Cabaret,False,3,Small (0-50),True,Funk / Soul,Funk / Soul,1,26,/events/2117016,Infidels Jazz Presents,False
Black Box,2025-03-08,2025-03-08 21:00:00,2025-03-09 03:00:00,Saturday,March,3,Spring,10,True,21,Evening (5pm-10pm),6.0,Long (6+ hrs),,0,False,The Lido,The Lido,False,2,Small (0-50),True,"House, Disco",House,2,"6, 21",/events/2116054,Other,False
Gorg-O-Mish presents: Sides Of The Sun & MHNUS,2025-03-09,2025-03-09 03:00:00,2025-03-09 09:00:00,Sunday,March,3,Spring,10,True,3,Late Night (10pm-6am),6.0,Long (6+ hrs),MHNUS,1,True,Gorg-O-Mish,Gorg-O-Mish,False,3,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2116021,Gorg-O-Mish presents,False
Pacific Rhythm meets Bar Gobo,2025-03-12,2025-03-12 21:00:00,2025-03-12 23:00:00,Wednesday,March,3,Spring,11,False,21,Evening (5pm-10pm),2.0,Short (< 3 hrs),DJ D.Dee,1,True,Bar Gobo,Bar Gobo,False,0,No data,False,"Ambient, Downtempo",Ambient,2,"19, 22",/events/2123655,Other,False
BREAK CLUB - Sivz,2025-03-13,2025-03-13 22:30:00,2025-03-14 04:00:00,Thursday,March,3,Spring,11,False,22,Late Night (10pm-6am),5.5,Medium (3-6 hrs),Sivz,1,True,Fortune Sound Club,Fortune Sound Club,False,69,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2111419,BREAK CLUB,False
Dice Thursdays with D. Jon & Raen,2025-03-13,2025-03-13 21:00:00,2025-03-13 23:59:00,Thursday,March,3,Spring,11,False,21,Evening (5pm-10pm),2.9833333333333334,Short (< 3 hrs),raen,1,True,Boogie Van,Boogie Van,False,0,No data,False,"Club, Electronica",Club,2,"39, 75",/events/2123665,Other,False
"VTK: Danny Daze (4Hour Set), Syd Woz",2025-03-14,2025-03-14 23:00:00,2025-03-15 05:00:00,Friday,March,3,Spring,11,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Danny Daze, Syd Woz",2,True,Industrial 236,Industrial 236,False,122,Medium (50-150),True,Techno,Techno,1,5,/events/2107224,Other,False
VTK: WE MADE YOU LOOK - VOL.1,2025-03-14,2025-03-14 23:59:00,2025-03-15 06:00:00,Friday,March,3,Spring,11,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),"Shades of Day, Binks (CA)",2,True,Vantek Warehouse,Vantek Warehouse,False,59,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2122410,VTK: WE MADE YOU LOOK,False
throwing_shaders: ashwell woodland / i+eo / schema drift / conway + hutzulak + mutter,2025-03-14,2025-03-14 20:30:00,2025-03-15 00:30:00,Friday,March,3,Spring,11,True,20,Evening (5pm-10pm),4.0,Medium (3-6 hrs),"i+eo, IHA (CA), ephemeral objects, cy.matic (visuals), Bronwyn",5,True,TBA - Vancouver,Vancouver,True,82,Medium (50-150),True,"Ambient, Experimental",Ambient,2,"19, 25",/events/2107314,throwing_shaders,False
Tinzo + Jojo Dial Up Tour: Vancouver,2025-03-14,2025-03-14 22:00:00,2025-03-15 02:00:00,Friday,March,3,Spring,11,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Tinzo, Jojo Lorenzo",2,True,Hollywood Theatre,Hollywood Theatre,False,31,Small (0-50),True,House,House,1,6,/events/2060783,Tinzo + Jojo Dial Up Tour,False
Casual Chemistry,2025-03-14,2025-03-14 22:00:00,2025-03-15 03:00:00,Friday,March,3,Spring,11,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Ev O'Reilly, miniski, Jared Love, VSUVIUS",4,True,The Hargrove,The Hargrove,False,21,Small (0-50),True,House,House,1,6,/events/2113732,Other,False
"Debut presents Illicit Tour with Raybee (UK), Kali (UK), LSN (UK), TAPPA, SKERD b2b PONDA",2025-03-14,2025-03-14 22:00:00,2025-03-15 03:00:00,Friday,March,3,Spring,11,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),,0,False,TBA -  Lighthouse Vancouver (downtown),Lighthouse Vancouver (downtown),True,6,Small (0-50),True,"Bass, Garage",Bass,2,"12, 13",/events/2106026,Debut,False
"Stephlon Pine: Beautiful Violence, Tall Brain, Sissy XO, Sh!tomato, Morrigan",2025-03-14,2025-03-14 20:00:00,2025-03-14 23:59:00,Friday,March,3,Spring,11,True,20,Evening (5pm-10pm),3.9833333333333334,Medium (3-6 hrs),,0,False,KW Studios,KW Studios,False,2,Small (0-50),True,,Unknown,0,,/events/2110365,Stephlon Pine,False
Deeper Grooves presents...Failte Ireland; An Alternative St. Patrick's Day Celebration,2025-03-14,2025-03-14 20:30:00,2025-03-14 22:00:00,Friday,March,3,Spring,11,True,20,Evening (5pm-10pm),1.5,Short (< 3 hrs),Lin-chi,1,True,TBA - Bside Radio,Bside Radio,True,1,Small (0-50),True,"Hip-Hop, Deep House",Hip-Hop,2,"9, 20",/events/2118239,Other,False
Gorg-O-Mish Presents: Joel West & Bystander,2025-03-14,2025-03-14 02:00:00,2025-03-15 08:00:00,Friday,March,3,Spring,11,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),"Joel West, bystander",2,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2124681,Gorg-O-Mish Presents,False
DEPARTAMENTO,2025-03-14,2025-03-14 23:59:00,2025-03-16 06:00:00,Friday,March,3,Spring,11,True,23,Late Night (10pm-6am),30.016666666666666,Long (6+ hrs),Tiago de Renor,1,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,0,No data,False,"Techno, Tech House",Techno,2,"5, 15",/events/2124684,Other,False
"VANTEK X SYXT: KETCH, Barbosa",2025-03-15,2025-03-15 23:00:00,2025-03-16 06:00:00,Saturday,March,3,Spring,11,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"KETCH, Barbosa, POPU, Angel Science",4,True,Vantek Warehouse,Vantek Warehouse,False,149,Medium (50-150),True,Techno,Techno,1,5,/events/2095787,VANTEK X SYXT,False
Golchin Vol. 2 - A Nowruz Celebration,2025-03-15,2025-03-15 22:00:00,2025-03-16 03:30:00,Saturday,March,3,Spring,11,True,22,Late Night (10pm-6am),5.5,Medium (3-6 hrs),"AIDA (CA), Salar Ansari, mikubat, Saghiaa",4,True,TBA - @ a secret warehouse?? (Near Terminal SkyTrain),@ a secret warehouse?? (Near Terminal SkyTrain),True,243,Large (150-300),True,"House, Experimental",House,2,"6, 25",/events/2097806,Golchin Vol. 2,False
77LEIGHT,2025-03-15,2025-03-15 23:00:00,2025-03-16 05:00:00,Saturday,March,3,Spring,11,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Njoki Njoki, IHA (CA), DJ Hockey, VioletNoise",4,True,TBA - Vancouver,Vancouver,True,74,Medium (50-150),True,Techno,Techno,1,5,/events/2122521,Other,False
Stacked pres. Oppidan,2025-03-15,2025-03-15 22:00:00,2025-03-16 03:00:00,Saturday,March,3,Spring,11,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),Oppidan,1,True,Celebrities Night Club,Celebrities Night Club,False,18,Small (0-50),True,Garage,Garage,1,13,/events/2080670,Other,False
TRANSCEND,2025-03-15,2025-03-15 21:00:00,2025-03-16 02:00:00,Saturday,March,3,Spring,11,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"VioletNoise, TR4CK ID?, DJ Trustworthy",3,True,The Well Studios,The Well Studios,False,18,Small (0-50),True,"Trance, House",Trance,2,"2, 6",/events/2115301,Other,False
The World of Drum and Bass 2025 Vancouver,2025-03-15,2025-03-15 21:30:00,2025-03-16 03:00:00,Saturday,March,3,Spring,11,True,21,Evening (5pm-10pm),5.5,Medium (3-6 hrs),"Grooverider, DJ SS",2,True,The Red Room,The Red Room,False,16,Small (0-50),True,"Drum & Bass, Jungle",Drum & Bass,2,"4, 49",/events/2091799,Other,False
"Deep Down Inside & Denizens present: Max Ulis, Thomas Workshop & KÖL",2025-03-15,2025-03-15 22:00:00,2025-03-16 02:00:00,Saturday,March,3,Spring,11,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Max Ulis, Thomas Workshop, KÖL (CA)",3,True,Village Studios,Village Studios,False,11,Small (0-50),True,"House, Deep House",House,2,"6, 20",/events/2115356,Deep Down Inside & Denizens present,False
"Gorg-O-Mish presents: Silver Panda, Raangel & TASHI",2025-03-15,2025-03-15 00:00:00,2025-03-16 09:00:00,Saturday,March,3,Spring,11,True,0,Late Night (10pm-6am),33.0,Long (6+ hrs),"Silver Panda, TASHI",2,True,Gorg-O-Mish,Gorg-O-Mish,False,5,Small (0-50),True,"Techno, Psytrance",Techno,2,"5, 76",/events/2113648,Gorg-O-Mish presents,False
St. Patrick's Weekender with Cromby,2025-03-15,2025-03-15 16:00:00,2025-03-16 02:00:00,Saturday,March,3,Spring,11,True,16,Afternoon (12pm-5pm),10.0,Long (6+ hrs),Cromby,1,True,At The Waldorf Hotel,At The Waldorf Hotel,False,1,Small (0-50),True,House,House,1,6,/events/2120163,Other,False
ST. PATRICKS GROOVE,2025-03-15,2025-03-15 23:59:00,2025-03-16 06:00:00,Saturday,March,3,Spring,11,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),TAPSTER,1,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,1,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2124711,Other,False
White Noise presents Yung Bae with WMNSTUDIES,2025-03-15,2025-03-15 10:30:00,2025-03-16 02:00:00,Saturday,March,3,Spring,11,True,10,Morning (6am-12pm),15.5,Long (6+ hrs),,0,False,Biltmore Cabaret,Biltmore Cabaret,False,1,Small (0-50),True,House,House,1,6,/events/2096556,Other,False
DEPARTAMENTO,2025-03-14,2025-03-14 23:59:00,2025-03-16 06:00:00,Friday,March,3,Spring,11,True,23,Late Night (10pm-6am),30.016666666666666,Long (6+ hrs),Tiago de Renor,1,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,0,No data,False,"Techno, Tech House",Techno,2,"5, 15",/events/2124684,Other,False
Astrid Sonne,2025-03-18,2025-03-18 19:00:00,2025-03-18 23:00:00,Tuesday,March,3,Spring,12,False,19,Evening (5pm-10pm),4.0,Medium (3-6 hrs),Astrid Sonne,1,True,Fox Cabaret,Fox Cabaret,False,301,Very Large (300+),True,,Unknown,0,,/events/2040206,Other,False
Channel One Sound System x iAMi Sound System,2025-03-19,2025-03-19 19:00:00,2025-03-20 00:00:00,Wednesday,March,3,Spring,12,False,19,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Channel One Sound, Michael Red, FrumLater",3,True,Industrial 236,Industrial 236,False,309,Very Large (300+),True,Dub,Dub,1,23,/events/2105151,Other,False
BREAK CLUB - EVAN O'RILLEY - CANCELED,2025-03-20,2025-03-20 22:30:00,2025-03-21 04:00:00,Thursday,March,3,Spring,12,False,22,Late Night (10pm-6am),5.5,Medium (3-6 hrs),,0,False,Fortune Sound Club,Fortune Sound Club,False,11,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2111425,BREAK CLUB,False
RITUAL,2025-03-20,2025-03-20 21:00:00,2025-03-21 01:00:00,Thursday,March,3,Spring,12,False,21,Evening (5pm-10pm),4.0,Medium (3-6 hrs),,0,False,The Lido,The Lido,False,0,No data,False,"Industrial, Post-Punk",Industrial,2,"47, 55",/events/2131101,Other,False
Raresh,2025-03-21,2025-03-21 22:00:00,2025-03-22 04:00:00,Friday,March,3,Spring,12,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"Raresh, Jay Tripwire",2,True,Industrial 236,Industrial 236,False,124,Medium (50-150),True,"Tech House, Minimal",Tech House,2,"15, 18",/events/2115360,Other,False
VTK171: KISHIKAN - Marcel Fengler & STEYA - ALL NIGHT LONG,2025-03-21,2025-03-21 23:59:00,2025-03-22 06:00:00,Friday,March,3,Spring,12,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),"Marcel Fengler, STEYA",2,True,Vantek Warehouse,Vantek Warehouse,False,119,Medium (50-150),True,Techno,Techno,1,5,/events/2084451,VTK171,False
"Equinox with Tea, BC",2025-03-21,2025-03-21 19:00:00,2025-03-21 23:59:00,Friday,March,3,Spring,12,True,19,Evening (5pm-10pm),4.983333333333333,Medium (3-6 hrs),Bobby Myseh,1,True,Lobe Studio,Lobe Studio,False,4,Small (0-50),True,"Ambient, Downtempo",Ambient,2,"19, 22",/events/2123595,Other,False
Art Of Beatz 21st Anniversary with Kuma and Motomasa,2025-03-21,2025-03-21 22:30:00,2025-03-22 02:00:00,Friday,March,3,Spring,12,True,22,Late Night (10pm-6am),3.5,Medium (3-6 hrs),"Kuma, Motomasa",2,True,The Projection Room at the Fox Cabaret,The Projection Room at the Fox Cabaret,False,3,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2122339,Other,False
Parallels,2025-03-21,2025-03-21 20:00:00,2025-03-22 01:00:00,Friday,March,3,Spring,12,True,20,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"C-Star, Dose., Tully",3,True,Spiritbar,Spiritbar,True,3,Small (0-50),True,"Techno, Bass",Techno,2,"5, 12",/events/2124565,Other,False
Frontleft pres. 2049,2025-03-21,2025-03-21 23:00:00,2025-03-22 06:00:00,Friday,March,3,Spring,12,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),,0,False,TBA - Vancouver,Vancouver,True,3,Small (0-50),True,"Drum & Bass, Dub Techno",Drum & Bass,2,"4, 42",/events/2129775,Other,False
NEO COWBOY,2025-03-21,2025-03-21 21:00:00,2025-03-22 04:00:00,Friday,March,3,Spring,12,True,21,Evening (5pm-10pm),7.0,Long (6+ hrs),Slim Media Player,1,True,TBA - Vancouver,Vancouver,True,0,No data,False,"House, Electronica",House,2,"6, 75",/events/2123743,Other,False
under the bridge,2025-03-21,2025-03-21 19:00:00,2025-03-21 23:00:00,Friday,March,3,Spring,12,True,19,Evening (5pm-10pm),4.0,Medium (3-6 hrs),,0,False,TBA - Vancouver,Vancouver,True,0,No data,False,Post-Punk,Post-Punk,1,55,/events/2129052,Other,False
RTR presents: Behrad Tehrani - All Night Long - Birthday Set,2025-03-22,2025-03-22 23:00:00,2025-03-23 06:00:00,Saturday,March,3,Spring,12,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),Behrad Tehrani,1,True,Industrial 236,Industrial 236,False,306,Very Large (300+),True,Techno,Techno,1,5,/events/2085366,RTR presents,False
"Undulata b2b INNEZZ, Slim Media Player b2b dj_2button. Weirdos inc. x Bleach",2025-03-22,2025-03-22 23:00:00,2025-03-23 04:00:00,Saturday,March,3,Spring,12,True,23,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"INNEZZ, dj_2button, Slim Media Player",3,True,TBA - SECRET WAREHOUSE??,SECRET WAREHOUSE??,True,139,Medium (50-150),True,"Minimal, Industrial",Minimal,2,"18, 47",/events/2118232,Other,False
[MAR 22ND] FWD❯❯ MOTION w/ Max Ulis (3 HOUR SET),2025-03-22,2025-03-22 20:00:00,2025-03-23 02:00:00,Saturday,March,3,Spring,12,True,20,Evening (5pm-10pm),6.0,Long (6+ hrs),Max Ulis,1,True,TBA - Vancouver,Vancouver,True,126,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2102243,Other,False
Body Shop: 1 Year Special,2025-03-22,2025-03-22 22:00:00,2025-03-23 03:00:00,Saturday,March,3,Spring,12,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Body Double, Show of Hands, Bobby Myseh, EDD1E B00P",4,True,TBA - Vancouver,Vancouver,True,86,Medium (50-150),True,,Unknown,0,,/events/2104382,Body Shop,False
Author / captivate / Willisist / bedtime snack / Vasho,2025-03-22,2025-03-22 22:00:00,2025-03-23 04:30:00,Saturday,March,3,Spring,12,True,22,Late Night (10pm-6am),6.5,Long (6+ hrs),"The Author, Willisist, captivate, bedtime snack, Vasho",5,True,TBA - East Vancouver,East Vancouver,True,41,Small (0-50),True,"Drum & Bass, Bass",Drum & Bass,2,"4, 12",/events/2121001,Other,False
Vancouver Loves Drum & Bass,2025-03-22,2025-03-22 22:00:00,2025-03-23 02:00:00,Saturday,March,3,Spring,12,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),,0,False,Fortune Sound Club,Fortune Sound Club,False,17,Small (0-50),True,"Drum & Bass, Jungle",Drum & Bass,2,"4, 49",/events/2114711,Other,False
NAMITO in Vancouver,2025-03-22,2025-03-22 22:00:00,2025-03-23 03:00:00,Saturday,March,3,Spring,12,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Namito, Bardia Ghobadi",2,True,Enso,Enso,False,8,Small (0-50),True,"Progressive House, House",Progressive House,2,"1, 6",/events/2070000,Other,False
MACHINEDRUM x OAKK,2025-03-22,2025-03-22 22:30:00,2025-03-23 03:00:00,Saturday,March,3,Spring,12,True,22,Late Night (10pm-6am),4.5,Medium (3-6 hrs),,0,False,The Pearl,The Pearl,False,2,Small (0-50),True,House,House,1,6,/events/2131409,Other,False
Indoor Music with DJ D.DEE,2025-03-22,2025-03-22 21:00:00,2025-03-23 02:00:00,Saturday,March,3,Spring,12,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),DJ D.Dee,1,True,The Lido,The Lido,False,1,Small (0-50),True,"Downtempo, Balearic",Downtempo,2,"22, 35",/events/2129067,Other,False
Gorg-O-Mish Presents: DJ Hera & Nimaha,2025-03-22,2025-03-22 02:00:00,2025-03-22 08:00:00,Saturday,March,3,Spring,12,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"DJ HERA, NIMAHA",2,True,Gorg-O-Mish,Gorg-O-Mish,False,1,Small (0-50),True,"Tech House, Minimal Techno",Tech House,2,"15, 77",/events/2131010,Gorg-O-Mish Presents,False
El Mundo & Zazou [LIVE] W/Rasi Z,2025-03-23,2025-03-23 16:00:00,2025-03-24 12:00:00,Sunday,March,3,Spring,12,True,16,Afternoon (12pm-5pm),20.0,Long (6+ hrs),"El Mundo, Rasi Z",2,True,TBA - Monarca Gastown,Monarca Gastown,True,1,Small (0-50),True,"Deep House, Afro House",Deep House,2,"20, 72",/events/2090558,Other,False
Gorg-O-Mish Presents: Alüen & Leon V,2025-03-23,2025-03-23 02:00:00,2025-03-23 08:00:00,Sunday,March,3,Spring,12,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),ALÜEN,1,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Tech House, Minimal Techno",Tech House,2,"15, 77",/events/2131016,Gorg-O-Mish Presents,False
BREAK CLUB - DOMUS LATROS - Canceled,2025-03-27,2025-03-27 22:30:00,2025-03-28 02:00:00,Thursday,March,3,Spring,13,False,22,Late Night (10pm-6am),3.5,Medium (3-6 hrs),,0,False,Fortune Sound Club,Fortune Sound Club,False,7,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2111427,BREAK CLUB,False
neutral,2025-03-27,2025-03-27 20:00:00,2025-03-28 02:00:00,Thursday,March,3,Spring,13,False,20,Evening (5pm-10pm),6.0,Long (6+ hrs),,0,False,The Pearl,The Pearl,False,1,Small (0-50),True,Electronica,Electronica,1,75,/events/2126745,Other,False
Dice Thursdays Six Years Dice-Versary Party,2025-03-27,2025-03-27 20:00:00,2025-03-27 23:59:00,Thursday,March,3,Spring,13,False,20,Evening (5pm-10pm),3.9833333333333334,Medium (3-6 hrs),,0,False,Boogie Van,Boogie Van,False,0,No data,False,"Hip-Hop, Funk / Soul",Hip-Hop,2,"9, 26",/events/2135408,Dice Thursdays Six Years Dice,False
"VTK172: 999999999, ANGEL CANNON, Behrad Tehrani, BYSTANDER",2025-03-28,2025-03-28 23:00:00,2025-03-29 06:00:00,Friday,March,3,Spring,13,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"999999999, Behrad Tehrani, Bÿständer, ANGEL CANNON",4,True,Industrial 236,Industrial 236,False,875,Very Large (300+),True,"Techno, Acid",Techno,2,"5, 32",/events/2086601,VTK172,False
VTK: Mystica Forest XXII,2025-03-28,2025-03-28 22:00:00,2025-03-29 06:00:00,Friday,March,3,Spring,13,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),Bryn Liedl,1,True,Vantek Warehouse,Vantek Warehouse,False,64,Medium (50-150),True,Techno,Techno,1,5,/events/2119101,Other,False
"SYSTEM FAILURE w/ Pop Misft, Chali, ØŻ, Under Nothing",2025-03-28,2025-03-28 22:00:00,2025-03-29 02:00:00,Friday,March,3,Spring,13,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),,0,False,Calabash Bistro,Calabash Bistro,False,30,Small (0-50),True,"Drum & Bass, House",Drum & Bass,2,"4, 6",/events/2120974,Other,False
"Discothèque Vol. 12 w/ Syd Woz, The Ryze, Nikole & Lunr Girl",2025-03-28,2025-03-28 22:00:00,2025-03-29 03:00:00,Friday,March,3,Spring,13,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Syd Woz, The Ryze",2,True,TBA - Pangea - East Van,Pangea - East Van,True,24,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2117897,Other,False
JUNOfest presented by CBC Music,2025-03-28,2025-03-28 21:30:00,2025-03-29 02:30:00,Friday,March,3,Spring,13,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Ciel, Fred Everything",2,True,The Birdhouse,The Birdhouse,False,7,Small (0-50),True,,Unknown,0,,/events/2133813,Other,False
Club Roxy with Roxy Motorola,2025-03-28,2025-03-28 21:00:00,2025-03-29 02:00:00,Friday,March,3,Spring,13,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),,0,False,The Lido,The Lido,False,1,Small (0-50),True,"House, Disco",House,2,"6, 21",/events/2131066,Other,False
DEPARTAMENTO,2025-03-28,2025-03-28 23:59:00,2025-03-29 06:00:00,Friday,March,3,Spring,13,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),"Mortel, Markel",2,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2135412,Other,False
